language,question_type,question,retrieval_question,retrieval_query,expected,answer,retrieved,precision,recall,f1,false_positives,false_negatives,unsupported_hallucination,wrong_answer,error_type,hit_at_1,retrieval_recall_at_1,retrieval_precision_at_1,hit_at_3,retrieval_recall_at_3,retrieval_precision_at_3,hit_at_5,retrieval_recall_at_5,retrieval_precision_at_5,hit_at_10,retrieval_recall_at_10,retrieval_precision_at_10
English,unknown,Which scholarships are fully funded for Mongolian students?,Which scholarships are fully funded for Mongolian students?,Which scholarships are fully funded for Mongolian students? eligible nationality full funding full scholarship fully funded international students mongolia mongolia eligible mongolian students tuition and living,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships,Chevening Scholarship; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Swedish Institute Scholarships; Swiss Government Excellence Scholarships,Chevening Scholarship; ADB Internship Program; Google Generation Scholarship; Boren Awards; Swiss Government Excellence Scholarships; Swedish Institute Scholarships; Erasmus Mundus Joint Master Degrees; United Nations Fellowships; The Gates Scholarship; DAAD Scholarships,0.4,0.25,0.3076923076923077,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Swedish Institute Scholarships,Australia Awards; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Türkiye Scholarships,1,1,retrieval_miss,1,0.125,1.0,1,0.125,0.3333333333333333,1,0.25,0.4,1,0.25,0.2
English,unknown,Which scholarships require English proficiency for Mongolian students?,Which scholarships require English proficiency for Mongolian students?,Which scholarships require English proficiency for Mongolian students? eligible nationality english ielts international students language requirement mongolia mongolia eligible mongolian students toefl,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Rhodes Scholarship,Australia Awards; Chevening Scholarship; Government of Ireland International Education Scholarship; Swedish Institute Scholarships; United Nations Fellowships,Commonwealth Scholarship and Fellowship Plan; Australia Awards; Government of Ireland International Education Scholarship; Swedish Institute Scholarships; Chevening Scholarship; United Nations Fellowships; Fulbright U.S. Student Program; Marshall Scholarship; The Gates Scholarship; Türkiye Scholarships,0.4,0.4,0.4000000000000001,Government of Ireland International Education Scholarship; Swedish Institute Scholarships; United Nations Fellowships,Fulbright U.S. Student Program; Gates Cambridge Scholarship; Rhodes Scholarship,1,1,mixed_over_and_under_selection,0,0.0,0.0,1,0.2,0.3333333333333333,1,0.4,0.4,1,0.6,0.3
English,unknown,Which scholarships are master's programs for Mongolian students?,Which scholarships are master's programs for Mongolian students?,Which scholarships are master's programs for Mongolian students? eligible nationality graduate international students master master's masters mongolia mongolia eligible mongolian students postgraduate,Australia Awards; Chevening Scholarship; Erasmus Mundus Joint Master Degrees; Gates Cambridge Scholarship; Rhodes Scholarship,Australia Awards; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships,Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships; Australia Awards; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Marshall Scholarship; NSF Graduate Research Fellowship Program; Churchill Scholarship,0.4,0.4,0.4000000000000001,DAAD Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships,Chevening Scholarship; Gates Cambridge Scholarship; Rhodes Scholarship,1,1,retrieval_miss,1,0.2,1.0,1,0.2,0.3333333333333333,1,0.4,0.4,1,0.4,0.2
English,unknown,Which scholarships are PhD programs available to Mongolian students?,Which scholarships are PhD programs available to Mongolian students?,Which scholarships are PhD programs available to Mongolian students? doctoral doctorate eligible nationality international students mongolia mongolia eligible mongolian students ph.d phd,DAAD Scholarships; Gates Cambridge Scholarship; Vanier Canada Graduate Scholarships,Chinese Government Scholarship; DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Gates Cambridge Scholarship; Global Korea Scholarship; Knight-Hennessy Scholars; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,Swiss Government Excellence Scholarships; Vanier Canada Graduate Scholarships; DAAD Scholarships; Eiffel Excellence Scholarship Program; Commonwealth Scholarship and Fellowship Plan; Government of Ireland International Education Scholarship; Türkiye Scholarships; Chinese Government Scholarship; NSF Graduate Research Fellowship Program; Global Korea Scholarship; Knight-Hennessy Scholars; Stipendium Hungaricum; Gates Cambridge Scholarship; Erasmus Mundus Joint Master Degrees; Rhodes Scholarship,0.3,1.0,0.4615384615384615,Chinese Government Scholarship; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Global Korea Scholarship; Knight-Hennessy Scholars; Swiss Government Excellence Scholarships; Türkiye Scholarships,,1,1,over_selection,0,0.0,0.0,1,0.6666666666666666,0.6666666666666666,1,0.6666666666666666,0.4,1,0.6666666666666666,0.2
English,unknown,Which scholarships are in Asia and available to Mongolian students?,Which scholarships are in Asia and available to Mongolian students?,Which scholarships are in Asia and available to Mongolian students? asia asian china eligible nationality international students japan korea mongolia mongolia eligible mongolian students turkey,Chinese Government Scholarship; Global Korea Scholarship; MEXT Scholarship; Türkiye Scholarships,Asian Development Bank–Japan Scholarship Program; Global Korea Scholarship; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; MEXT Scholarship; Türkiye Scholarships,Japan-IMF Scholarship Program for Asia; Asian Development Bank–Japan Scholarship Program; Joint Japan/World Bank Graduate Scholarship Program; Google Generation Scholarship; JICA Scholarships; Global Korea Scholarship; Chinese Government Scholarship; Schwarzman Scholars; MEXT Scholarship; Türkiye Scholarships; ADB Internship Program; Swiss Government Excellence Scholarships; Australia Awards; Government of Ireland International Education Scholarship; United Nations Fellowships,0.42857142857142855,0.75,0.5454545454545454,Asian Development Bank–Japan Scholarship Program; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program,Chinese Government Scholarship,1,1,mixed_over_and_under_selection,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,0.4
English,unknown,Which scholarships are offered in Europe to Mongolian students?,Which scholarships are offered in Europe to Mongolian students?,Which scholarships are offered in Europe to Mongolian students? eligible nationality europe european france germany hungary international students mongolia mongolia eligible mongolian students switzerland,Chevening Scholarship; DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Stipendium Hungaricum; Swedish Institute Scholarships,Australia Awards; DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Stipendium Hungaricum; Swiss Government Excellence Scholarships,Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Eiffel Excellence Scholarship Program; DAAD Scholarships; Stipendium Hungaricum; Swedish Institute Scholarships; United Nations Fellowships; Government of Ireland International Education Scholarship; Marshall Scholarship; Australia Awards,0.5714285714285714,0.6666666666666666,0.6153846153846153,Australia Awards; Government of Ireland International Education Scholarship; Swiss Government Excellence Scholarships,Chevening Scholarship; Swedish Institute Scholarships,1,1,mixed_over_and_under_selection,1,0.16666666666666666,1.0,1,0.3333333333333333,0.6666666666666666,1,0.6666666666666666,0.8,1,0.8333333333333334,0.5
English,unknown,Which scholarships are funded by governments and open to Mongolian students?,Which scholarships are funded by governments and open to Mongolian students?,Which scholarships are funded by governments and open to Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,Australia Awards; Chevening Scholarship; Chinese Government Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship,Australia Awards; DAAD Scholarships; Government of Ireland International Education Scholarship; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships,Swiss Government Excellence Scholarships; Australia Awards; Boren Awards; DAAD Scholarships; Fulbright U.S. Student Program; Swedish Institute Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Türkiye Scholarships; Government of Ireland International Education Scholarship,0.16666666666666666,0.16666666666666666,0.16666666666666666,DAAD Scholarships; Government of Ireland International Education Scholarship; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships,Chevening Scholarship; Chinese Government Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship,1,1,mixed_over_and_under_selection,0,0.0,0.0,1,0.16666666666666666,0.3333333333333333,1,0.3333333333333333,0.4,1,0.3333333333333333,0.2
English,unknown,Which scholarships support development or public policy for Mongolian students?,Which scholarships support development or public policy for Mongolian students?,Which scholarships support development or public policy for Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,Asian Development Bank–Japan Scholarship Program; Australia Awards; Joint Japan/World Bank Graduate Scholarship Program,Australia Awards; Chevening Scholarship; JICA Scholarships,Swiss Government Excellence Scholarships; Commonwealth Scholarship and Fellowship Plan; Australia Awards; Swedish Institute Scholarships; DAAD Scholarships; Chevening Scholarship; JICA Scholarships; Fulbright U.S. Student Program; Knight-Hennessy Scholars; The Gates Scholarship,0.3333333333333333,0.3333333333333333,0.3333333333333333,Chevening Scholarship; JICA Scholarships,Asian Development Bank–Japan Scholarship Program; Joint Japan/World Bank Graduate Scholarship Program,1,1,retrieval_miss,0,0.0,0.0,1,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,0.2,1,0.3333333333333333,0.1
English,unknown,Which scholarships include leadership programs for Mongolian students?,Which scholarships include leadership programs for Mongolian students?,Which scholarships include leadership programs for Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,Chevening Scholarship; Knight-Hennessy Scholars; Rotary Peace Fellowship; Schwarzman Scholars,Chevening Scholarship; Knight-Hennessy Scholars,Boren Awards; United Nations Fellowships; Erasmus Mundus Joint Master Degrees; Chevening Scholarship; Türkiye Scholarships; DAAD Scholarships; Knight-Hennessy Scholars; Chinese Government Scholarship; Swiss Government Excellence Scholarships; Joint Japan/World Bank Graduate Scholarship Program,1.0,0.5,0.6666666666666666,,Rotary Peace Fellowship; Schwarzman Scholars,0,1,retrieval_miss,0,0.0,0.0,0,0.0,0.0,1,0.25,0.2,1,0.5,0.2
English,unknown,Which scholarships are university-based and open to Mongolian students?,Which scholarships are university-based and open to Mongolian students?,Which scholarships are university-based and open to Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,Gates Cambridge Scholarship; Knight-Hennessy Scholars; Schwarzman Scholars,AAUW International Fellowships; Australia Awards; DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Swiss Government Excellence Scholarships,Swiss Government Excellence Scholarships; Erasmus Mundus Joint Master Degrees; Australia Awards; Swedish Institute Scholarships; DAAD Scholarships; Boren Awards; Vanier Canada Graduate Scholarships; Government of Ireland International Education Scholarship; Eiffel Excellence Scholarship Program; AAUW International Fellowships,0.0,0.0,0.0,AAUW International Fellowships; Australia Awards; DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Swiss Government Excellence Scholarships,Gates Cambridge Scholarship; Knight-Hennessy Scholars; Schwarzman Scholars,1,1,retrieval_miss,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
English,unknown,Which scholarships do not require Japanese language for Mongolian students?,Which scholarships do not require Japanese language for Mongolian students?,Which scholarships do not require Japanese language for Mongolian students? eligible nationality english ielts international students japan japanese language requirement mongolia mongolia eligible mongolian students toefl,MEXT Scholarship,Asian Development Bank–Japan Scholarship Program; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships,Japan-IMF Scholarship Program for Asia; MEXT Scholarship; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Asian Development Bank–Japan Scholarship Program; Boren Awards; Commonwealth Scholarship and Fellowship Plan; Fulbright U.S. Student Program; Benjamin A. Gilman International Scholarship; Swedish Institute Scholarships,0.0,0.0,0.0,Asian Development Bank–Japan Scholarship Program; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships,MEXT Scholarship,1,1,mixed_over_and_under_selection,0,0.0,0.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.1
English,unknown,Which scholarships are partially funded for Mongolian students?,Which scholarships are partially funded for Mongolian students?,Which scholarships are partially funded for Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students partial partially funded tuition only,AAUW International Fellowships; Google Generation Scholarship,AAUW International Fellowships; Chevening Scholarship; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships,Boren Awards; Benjamin A. Gilman International Scholarship; Government of Ireland International Education Scholarship; Eiffel Excellence Scholarship Program; AAUW International Fellowships; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Swedish Institute Scholarships; Erasmus Mundus Joint Master Degrees; Chevening Scholarship,0.125,0.5,0.2,Chevening Scholarship; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships,Google Generation Scholarship,1,1,retrieval_miss,0,0.0,0.0,0,0.0,0.0,1,0.5,0.2,1,0.5,0.1
English,unknown,Which scholarships are international joint programs for Mongolian students?,Which scholarships are international joint programs for Mongolian students?,Which scholarships are international joint programs for Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,Erasmus Mundus Joint Master Degrees,Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Joint Japan/World Bank Graduate Scholarship Program,Joint Japan/World Bank Graduate Scholarship Program; Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Boren Awards; Swedish Institute Scholarships; United Nations Fellowships; Benjamin A. Gilman International Scholarship; AAUW International Fellowships; Fulbright U.S. Student Program; Government of Ireland International Education Scholarship,0.3333333333333333,1.0,0.5,Government of Ireland International Education Scholarship; Joint Japan/World Bank Graduate Scholarship Program,,1,1,over_selection,0,0.0,0.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.1
English,unknown,Which scholarships are short-term or fellowship programs for Mongolian students?,Which scholarships are short-term or fellowship programs for Mongolian students?,Which scholarships are short-term or fellowship programs for Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,Rotary Peace Fellowship; United Nations Fellowships,AAUW International Fellowships; Erasmus Mundus Joint Master Degrees; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships; United Nations Fellowships,AAUW International Fellowships; NSF Graduate Research Fellowship Program; Commonwealth Scholarship and Fellowship Plan; United Nations Fellowships; Boren Awards; Swiss Government Excellence Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Erasmus Mundus Joint Master Degrees; Swedish Institute Scholarships; Benjamin A. Gilman International Scholarship,0.2,0.5,0.28571428571428575,AAUW International Fellowships; Erasmus Mundus Joint Master Degrees; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships,Rotary Peace Fellowship,1,1,retrieval_miss,0,0.0,0.0,0,0.0,0.0,1,0.5,0.2,1,0.5,0.1
English,unknown,Which scholarships focus on research degrees for Mongolian students?,Which scholarships focus on research degrees for Mongolian students?,Which scholarships focus on research degrees for Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,DAAD Scholarships; Vanier Canada Graduate Scholarships,DAAD Scholarships; MEXT Scholarship; Swiss Government Excellence Scholarships; Vanier Canada Graduate Scholarships,Swiss Government Excellence Scholarships; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Türkiye Scholarships; NSF Graduate Research Fellowship Program; Fulbright U.S. Student Program; Vanier Canada Graduate Scholarships; MEXT Scholarship; Government of Ireland International Education Scholarship,0.5,1.0,0.6666666666666666,MEXT Scholarship; Swiss Government Excellence Scholarships,,1,1,over_selection,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.2,1,1.0,0.2
English,unknown,Which fully funded master's scholarships are available to Mongolian students in the UK?,Which fully funded master's scholarships are available to Mongolian students in the UK?,Which fully funded master's scholarships are available to Mongolian students in the UK? britain british eligible nationality england full funding full scholarship fully funded graduate international students master master's masters mongolia mongolia eligible mongolian students postgraduate tuition and living uk united kingdom,Chevening Scholarship; Gates Cambridge Scholarship; Rhodes Scholarship,Australia Awards; Chevening Scholarship; Gates Cambridge Scholarship,Chevening Scholarship; Marshall Scholarship; Churchill Scholarship; Commonwealth Scholarship and Fellowship Plan; Google Generation Scholarship; Gates Cambridge Scholarship; Rhodes Scholarship; ADB Internship Program; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; DAAD Scholarships; Asian Development Bank–Japan Scholarship Program; Knight-Hennessy Scholars; Australia Awards; Swedish Institute Scholarships,0.6666666666666666,0.6666666666666666,0.6666666666666666,Australia Awards,Rhodes Scholarship,1,1,mixed_over_and_under_selection,1,0.3333333333333333,1.0,1,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,0.2,1,1.0,0.3
English,unknown,Which scholarships are fully funded and available to Mongolian students in Japan?,Which scholarships are fully funded and available to Mongolian students in Japan?,Which scholarships are fully funded and available to Mongolian students in Japan? asia asian china eligible nationality full funding full scholarship fully funded international students japan japanese korea mongolia mongolia eligible mongolian students tuition and living turkey,Asian Development Bank–Japan Scholarship Program; MEXT Scholarship,JICA Scholarships; Japan-IMF Scholarship Program for Asia; MEXT Scholarship,MEXT Scholarship; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Google Generation Scholarship; Asian Development Bank–Japan Scholarship Program; Japan-IMF Scholarship Program for Asia; ADB Internship Program; Global Korea Scholarship; Chinese Government Scholarship; Schwarzman Scholars; Chevening Scholarship; Türkiye Scholarships; Government of Ireland International Education Scholarship; Churchill Scholarship; Australia Awards,0.3333333333333333,0.5,0.4,JICA Scholarships; Japan-IMF Scholarship Program for Asia,Asian Development Bank–Japan Scholarship Program,1,1,mixed_over_and_under_selection,1,0.5,1.0,1,0.5,0.3333333333333333,1,1.0,0.4,1,1.0,0.2
