system,question,expected,answer,precision,recall,f1,false_positives,false_negatives,unsupported_hallucination,wrong_answer,error_type
baseline_no_retrieval_label_selection,Which scholarships are fully funded for Mongolian students?,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships,Australia Awards; Chevening Scholarship; Chinese Government Scholarship; DAAD Scholarships; Eiffel Excellence Scholarship Program; Fulbright U.S. Student Program; Global Korea Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,0.4,1.0,0.5714285714285715,Chinese Government Scholarship; DAAD Scholarships; Eiffel Excellence Scholarship Program; Government of Ireland International Education Scholarship; JICA Scholarships; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Schwarzman Scholars; Swedish Institute Scholarships; Vanier Canada Graduate Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships require English proficiency for Mongolian students?,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Rhodes Scholarship,AAUW International Fellowships; Australia Awards; Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Global Korea Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; Knight-Hennessy Scholars; Marshall Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Schwarzman Scholars; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,0.22727272727272727,1.0,0.37037037037037035,AAUW International Fellowships; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Global Korea Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; Knight-Hennessy Scholars; Marshall Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Schwarzman Scholars; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are master's programs for Mongolian students?,Australia Awards; Chevening Scholarship; Erasmus Mundus Joint Master Degrees; Gates Cambridge Scholarship; Rhodes Scholarship,NONE,0.0,0.0,0.0,,Australia Awards; Chevening Scholarship; Erasmus Mundus Joint Master Degrees; Gates Cambridge Scholarship; Rhodes Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are PhD programs available to Mongolian students?,DAAD Scholarships; Gates Cambridge Scholarship; Vanier Canada Graduate Scholarships,NONE,0.0,0.0,0.0,,DAAD Scholarships; Gates Cambridge Scholarship; Vanier Canada Graduate Scholarships,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are in Asia and available to Mongolian students?,Chinese Government Scholarship; Global Korea Scholarship; MEXT Scholarship; Türkiye Scholarships,Chinese Government Scholarship; Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Türkiye Scholarships,0.8,1.0,0.888888888888889,JICA Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are offered in Europe to Mongolian students?,Chevening Scholarship; DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Stipendium Hungaricum; Swedish Institute Scholarships,Chevening Scholarship; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Marshall Scholarship; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships,0.5555555555555556,0.8333333333333334,0.6666666666666667,Government of Ireland International Education Scholarship; Marshall Scholarship; Schwarzman Scholars; Swiss Government Excellence Scholarships,Eiffel Excellence Scholarship Program,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships are funded by governments and open to Mongolian students?,Australia Awards; Chevening Scholarship; Chinese Government Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship,Australia Awards; Chinese Government Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; MEXT Scholarship; Türkiye Scholarships,0.5,0.5,0.5,Government of Ireland International Education Scholarship; JICA Scholarships; Türkiye Scholarships,Chevening Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships support development or public policy for Mongolian students?,Asian Development Bank–Japan Scholarship Program; Australia Awards; Joint Japan/World Bank Graduate Scholarship Program,ADB Internship Program; Asian Development Bank–Japan Scholarship Program; Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; Mastercard Foundation Scholars Program; United Nations Fellowships,0.2222222222222222,0.6666666666666666,0.3333333333333333,ADB Internship Program; Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Mastercard Foundation Scholars Program; United Nations Fellowships,Australia Awards,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships include leadership programs for Mongolian students?,Chevening Scholarship; Knight-Hennessy Scholars; Rotary Peace Fellowship; Schwarzman Scholars,NONE,0.0,0.0,0.0,,Chevening Scholarship; Knight-Hennessy Scholars; Rotary Peace Fellowship; Schwarzman Scholars,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are university-based and open to Mongolian students?,Gates Cambridge Scholarship; Knight-Hennessy Scholars; Schwarzman Scholars,NONE,0.0,0.0,0.0,,Gates Cambridge Scholarship; Knight-Hennessy Scholars; Schwarzman Scholars,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships do not require Japanese language for Mongolian students?,MEXT Scholarship,AAUW International Fellowships; ADB Internship Program; Asian Development Bank–Japan Scholarship Program; Benjamin A. Gilman International Scholarship; Boren Awards; Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Global Korea Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Knight-Hennessy Scholars; Marshall Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Rotary Peace Fellowship; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; The Gates Scholarship; Türkiye Scholarships; United Nations Fellowships; Vanier Canada Graduate Scholarships,0.0,0.0,0.0,AAUW International Fellowships; ADB Internship Program; Asian Development Bank–Japan Scholarship Program; Benjamin A. Gilman International Scholarship; Boren Awards; Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Global Korea Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Knight-Hennessy Scholars; Marshall Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Rotary Peace Fellowship; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; The Gates Scholarship; Türkiye Scholarships; United Nations Fellowships; Vanier Canada Graduate Scholarships,MEXT Scholarship,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships are partially funded for Mongolian students?,AAUW International Fellowships; Google Generation Scholarship,NONE,0.0,0.0,0.0,,AAUW International Fellowships; Google Generation Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are international joint programs for Mongolian students?,Erasmus Mundus Joint Master Degrees,Erasmus Mundus Joint Master Degrees; Joint Japan/World Bank Graduate Scholarship Program,0.5,1.0,0.6666666666666666,Joint Japan/World Bank Graduate Scholarship Program,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are short-term or fellowship programs for Mongolian students?,Rotary Peace Fellowship; United Nations Fellowships,ADB Internship Program; Chevening Scholarship; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; Knight-Hennessy Scholars; Mastercard Foundation Scholars Program; Rotary Peace Fellowship; United Nations Fellowships,0.16666666666666666,1.0,0.2857142857142857,ADB Internship Program; Chevening Scholarship; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; Knight-Hennessy Scholars; Mastercard Foundation Scholars Program,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships focus on research degrees for Mongolian students?,DAAD Scholarships; Vanier Canada Graduate Scholarships,NONE,0.0,0.0,0.0,,DAAD Scholarships; Vanier Canada Graduate Scholarships,0,1,empty_answer
baseline_no_retrieval_label_selection,Which fully funded master's scholarships are available to Mongolian students in the UK?,Chevening Scholarship; Gates Cambridge Scholarship; Rhodes Scholarship,Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; Marshall Scholarship; Rhodes Scholarship,0.5,0.6666666666666666,0.5714285714285715,Commonwealth Scholarship and Fellowship Plan; Marshall Scholarship,Gates Cambridge Scholarship,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships are fully funded and available to Mongolian students in Japan?,Asian Development Bank–Japan Scholarship Program; MEXT Scholarship,JICA Scholarships; Japan-IMF Scholarship Program for Asia; MEXT Scholarship,0.3333333333333333,0.5,0.4,JICA Scholarships; Japan-IMF Scholarship Program for Asia,Asian Development Bank–Japan Scholarship Program,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships require work experience for Mongolian students?,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Joint Japan/World Bank Graduate Scholarship Program,NONE,0.0,0.0,0.0,,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Joint Japan/World Bank Graduate Scholarship Program,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are fully funded and available to Mongolian students in Europe?,Chevening Scholarship; Erasmus Mundus Joint Master Degrees; Gates Cambridge Scholarship; Stipendium Hungaricum,NONE,0.0,0.0,0.0,,Chevening Scholarship; Erasmus Mundus Joint Master Degrees; Gates Cambridge Scholarship; Stipendium Hungaricum,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are fully funded and require English for Mongolian students?,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Rhodes Scholarship,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships,0.3125,1.0,0.47619047619047616,Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are fully funded and located in Asia for Mongolian students?,Chinese Government Scholarship; Global Korea Scholarship; MEXT Scholarship; Türkiye Scholarships,Chinese Government Scholarship; Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Türkiye Scholarships,0.8,1.0,0.888888888888889,JICA Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are fully funded and require work experience for Mongolian students?,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program,NONE,0.0,0.0,0.0,,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are for development-related master's programs for Mongolian students?,Asian Development Bank–Japan Scholarship Program; Australia Awards; Joint Japan/World Bank Graduate Scholarship Program,NONE,0.0,0.0,0.0,,Asian Development Bank–Japan Scholarship Program; Australia Awards; Joint Japan/World Bank Graduate Scholarship Program,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are leadership-focused and fully funded for Mongolian students?,Chevening Scholarship; Knight-Hennessy Scholars; Schwarzman Scholars,NONE,0.0,0.0,0.0,,Chevening Scholarship; Knight-Hennessy Scholars; Schwarzman Scholars,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are fully funded PhD opportunities for Mongolian students?,DAAD Scholarships; Gates Cambridge Scholarship; Vanier Canada Graduate Scholarships,NONE,0.0,0.0,0.0,,DAAD Scholarships; Gates Cambridge Scholarship; Vanier Canada Graduate Scholarships,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships involve multiple universities or countries and are open to Mongolian students?,Erasmus Mundus Joint Master Degrees,Asian Development Bank–Japan Scholarship Program; Australia Awards; Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Global Korea Scholarship; JICA Scholarships; Knight-Hennessy Scholars; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Schwarzman Scholars; Turkish Scholarships,0.0625,1.0,0.11764705882352941,Asian Development Bank–Japan Scholarship Program; Australia Awards; Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Fulbright U.S. Student Program; Global Korea Scholarship; JICA Scholarships; Knight-Hennessy Scholars; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Schwarzman Scholars; Turkish Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships require both English and work experience for Mongolian students?,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program,NONE,0.0,0.0,0.0,,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are fully funded but may have strict eligibility requirements for Mongolian students?,Gates Cambridge Scholarship; Rhodes Scholarship; Schwarzman Scholars,Chevening Scholarship; Chinese Government Scholarship; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,0.1111111111111111,0.6666666666666666,0.1904761904761905,Chevening Scholarship; Chinese Government Scholarship; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Orange Knowledge Programme; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,Gates Cambridge Scholarship,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships combine funding and leadership development for Mongolian students?,Chevening Scholarship; Knight-Hennessy Scholars; Schwarzman Scholars,AAUW International Fellowships; Mastercard Foundation Scholars Program; Schwarzman Scholars,0.3333333333333333,0.3333333333333333,0.3333333333333333,AAUW International Fellowships; Mastercard Foundation Scholars Program,Chevening Scholarship; Knight-Hennessy Scholars,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships are fully funded and competitive for top students from Mongolia?,Gates Cambridge Scholarship; Rhodes Scholarship; Schwarzman Scholars,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Rhodes Scholarship; Schwarzman Scholars; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,0.1875,1.0,0.3157894736842105,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; JICA Scholarships; MEXT Scholarship; Mastercard Foundation Scholars Program; New Zealand Scholarships; Stipendium Hungaricum; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are NOT available to Mongolian students?,Benjamin A. Gilman International Scholarship; Boren Awards; Churchill Scholarship; George J. Mitchell Scholarship; Marshall Scholarship,NONE,0.0,0.0,0.0,,Benjamin A. Gilman International Scholarship; Boren Awards; Churchill Scholarship; George J. Mitchell Scholarship; Marshall Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships have conditional eligibility for Mongolian students?,Mastercard Foundation Scholars Program; NSF Graduate Research Fellowship Program; Rhodes Scholarship; The Gates Scholarship,NONE,0.0,0.0,0.0,,Mastercard Foundation Scholars Program; NSF Graduate Research Fellowship Program; Rhodes Scholarship; The Gates Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships require checking eligibility for Mongolian applicants?,JICA Scholarships; Mastercard Foundation Scholars Program; New Zealand Scholarships; Rhodes Scholarship,NONE,0.0,0.0,0.0,,JICA Scholarships; Mastercard Foundation Scholars Program; New Zealand Scholarships; Rhodes Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are likely but not guaranteed for Mongolian students?,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Orange Knowledge Programme,NONE,0.0,0.0,0.0,,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Orange Knowledge Programme,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are restricted by citizenship and exclude Mongolian applicants?,Churchill Scholarship; George J. Mitchell Scholarship; Marshall Scholarship,NONE,0.0,0.0,0.0,,Churchill Scholarship; George J. Mitchell Scholarship; Marshall Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships depend on partner universities for Mongolian students?,Erasmus Mundus Joint Master Degrees; Mastercard Foundation Scholars Program,NONE,0.0,0.0,0.0,,Erasmus Mundus Joint Master Degrees; Mastercard Foundation Scholars Program,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are not fully funded for Mongolian students?,AAUW International Fellowships; Eiffel Excellence Scholarship Program; Google Generation Scholarship,NONE,0.0,0.0,0.0,,AAUW International Fellowships; Eiffel Excellence Scholarship Program; Google Generation Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships provide only partial funding for Mongolian students?,AAUW International Fellowships; Google Generation Scholarship,NONE,0.0,0.0,0.0,,AAUW International Fellowships; Google Generation Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships require nomination or government selection for Mongolian students?,JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program,Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; MEXT Scholarship; Rhodes Scholarship; Schwarzman Scholars; Türkiye Scholarships,0.2222222222222222,1.0,0.3636363636363636,Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; Japan-IMF Scholarship Program for Asia; MEXT Scholarship; Rhodes Scholarship; Schwarzman Scholars; Türkiye Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships should Mongolian students verify before applying?,JICA Scholarships; Mastercard Foundation Scholars Program; New Zealand Scholarships; Rhodes Scholarship,NONE,0.0,0.0,0.0,,JICA Scholarships; Mastercard Foundation Scholars Program; New Zealand Scholarships; Rhodes Scholarship,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships are for Mongolian high school students only?,NONE,NONE,1.0,1.0,1.0,,,0,0,correct
baseline_no_retrieval_label_selection,Which scholarships require no degree at all?,NONE,NONE,1.0,1.0,1.0,,,0,0,correct
baseline_no_retrieval_label_selection,Which scholarships are fully funded in Antarctica?,NONE,NONE,1.0,1.0,1.0,,,0,0,correct
baseline_no_retrieval_label_selection,Which scholarships are only for Mongolian domestic study?,NONE,NONE,1.0,1.0,1.0,,,0,0,correct
baseline_no_retrieval_label_selection,Which scholarships are only for athletes from Mongolia?,NONE,NONE,1.0,1.0,1.0,,,0,0,correct
